X;Y;Attack1;Attack2;Ability;Protect;EnemyX;EnemyY;next_move;DistanceDifference
-1.865623;-3.950221;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.300623
-1.894053;-3.95018;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.329053
-1.922483;-3.950148;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.3574829999999998
-1.950914;-3.950122;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.385914
-1.979344;-3.950101;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.414344
-2.007775;-3.950084;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.442775
-2.036205;-3.950071;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.471205
-2.064636;-3.95006;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.499636
-2.093066;-3.950052;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.528066
-2.121497;-3.950045;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.5564970000000002
-2.149927;-3.95004;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.584927
-2.149927;-3.950035;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.584927
-2.149927;-3.950032;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.584927
-2.149927;-3.950029;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.584927
-2.149927;-3.950027;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.584927
-2.149927;-3.950025;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.584927
-2.149927;-3.950024;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.584927
-2.149927;-3.950022;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.584927
-2.149927;-3.950021;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.584927
-2.149927;-3.95002;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.584927
-2.149927;-3.950019;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.584927
-2.149927;-3.873943;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.584927
-2.149927;-3.801791;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.584927
-2.149927;-3.733563;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.584927
-2.149927;-3.669259;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.584927
-2.149927;-3.608879;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.584927
-2.149927;-3.552423;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.584927
-2.119927;-3.499891;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.554927
-2.089927;-3.451283;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.524927
-2.059927;-3.406599;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.494927
-2.029927;-3.365839;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.464927
-1.999927;-3.329003;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.434927
-1.969927;-3.296091;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.404927
-1.939927;-3.267102;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.374927
-1.909927;-3.242038;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.3449269999999998
-1.879927;-3.220898;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.314927
-1.849927;-3.203682;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.284927
-1.819927;-3.19039;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.254927
-1.789927;-3.181022;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.224927
-1.759928;-3.175578;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.194928
-1.699928;-3.176462;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.134928
-1.639928;-3.193042;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.074928
-1.579928;-3.225318;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.014928
-1.519928;-3.27329;0;0;0.0;0.0;0.435;-3.945924;GoLeft;1.954928
-1.459928;-3.336958;0;0;0.0;0.0;0.435;-3.945924;GoLeft;1.894928
-1.369928;-3.46189;0;0;0.0;0.0;0.435;-3.945924;GoLeft;1.804928
-1.279928;-3.622138;0;0;0.0;0.0;0.435;-3.945924;GoLeft;1.714928
-1.189928;-3.817702;0;0;0.0;0.0;0.435;-3.945924;GoLeft;1.6249280000000002
-1.189928;-3.957259;0;0;0.0;0.0;0.435;-3.945924;GoLeft;1.6249280000000002
-1.189928;-3.952983;0;0;0.0;0.0;0.435;-3.945924;GoLeft;1.6249280000000002
-1.189928;-3.951231;0;0;0.0;0.0;0.435;-3.945924;GoLeft;1.6249280000000002
-1.189928;-3.950638;0;0;0.0;0.0;0.435;-3.945924;GoLeft;1.6249280000000002
-1.189928;-3.950514;0;0;0.0;0.0;0.435;-3.945924;GoLeft;1.6249280000000002
-1.189928;-3.950414;0;0;0.0;0.0;0.435;-3.945924;GoLeft;1.6249280000000002
-1.189928;-3.950335;0;0;0.0;0.0;0.435;-3.945924;GoLeft;1.6249280000000002
-1.189928;-3.950271;0;0;0.0;0.0;0.435;-3.945924;GoLeft;1.6249280000000002
-1.189928;-3.95022;0;0;0.0;0.0;0.435;-3.945924;GoLeft;1.6249280000000002
-1.189928;-3.950179;0;0;0.0;0.0;0.435;-3.945924;GoLeft;1.6249280000000002
-1.189928;-3.950146;0;0;0.0;0.0;0.435;-3.945924;GoLeft;1.6249280000000002
-1.189928;-3.95012;0;0;0.0;0.0;0.435;-3.945924;GoLeft;1.6249280000000002
-1.189928;-3.950099;0;0;0.0;0.0;0.435;-3.945924;GoLeft;1.6249280000000002
-1.189928;-3.950083;0;0;0.0;0.0;0.435;-3.945924;GoLeft;1.6249280000000002
-1.189928;-3.950069;0;0;0.0;0.0;0.435;-3.945924;GoLeft;1.6249280000000002
-1.161498;-3.95005;0;0;0.0;0.0;0.435;-3.945924;GoLeft;1.596498
-1.133067;-3.950043;0;0;0.0;0.0;0.435;-3.945924;GoLeft;1.568067
-1.104637;-3.950038;0;0;0.0;0.0;0.435;-3.945924;GoLeft;1.5396370000000001
-1.076207;-3.950033;0;0;0.0;0.0;0.435;-3.945924;GoLeft;1.511207
-1.076207;-3.95003;0;0;0.0;0.0;0.435;-3.945924;GoLeft;1.511207
-1.076207;-3.950027;0;0;0.0;0.0;0.435;-3.945924;GoLeft;1.511207
-1.076207;-3.950025;0;0;0.0;0.0;0.435;-3.945924;GoLeft;1.511207
-1.076207;-3.950023;0;0;0.0;0.0;0.435;-3.945924;GoLeft;1.511207
-1.076207;-3.950022;0;0;0.0;0.0;0.435;-3.945924;GoLeft;1.511207
