X;Y;Attack1;Attack2;Kick;DualAttack;Ability;Protect;Jump;Damage;EnemyX;EnemyY;EnemyDamage;moveCode
-0.6561977;-3.945696;0;0;0;0;0;0;0;0;-0.5822088;-3.255064;0;Jump
-0.6277673;-3.945696;0;0;0;0;0;0;0;0;-0.5439724;-3.254658;0;Jump
-0.5993369;-3.945696;0;0;0;0;0;0;0;0;-0.5057361;-3.258176;0;Jump
-0.5709065;-3.945696;0;0;0;0;0;0;0;0;-0.4902887;-3.269479;0;Jump
-0.5424761;-3.945696;0;0;0;0;0;0;0;0;-0.4748413;-3.284705;0;Jump
-0.5140457;-3.945696;0;0;0;0;0;0;0;0;-0.4593938;-3.303856;0;Jump
-0.4856152;-3.945696;0;0;0;0;0;0;0;0;-0.4439464;-3.32693;0;Jump
-0.4571848;-3.945696;0;0;0;0;0;0;0;0;-0.428499;-3.353929;0;Jump
-0.4287544;-3.945696;0;0;0;0;0;0;0;0;-0.4051523;-3.3743;0;Jump
-0.400324;-3.945696;0;0;0;0;0;0;0;0;-0.3818056;-3.398597;0;Jump
-0.3718936;-3.945696;0;0;0;0;0;0;0;0;-0.358459;-3.426816;0;Jump
-0.3434632;-3.945696;0;0;0;0;0;0;0;0;-0.3347098;-3.469615;0;Jump
-0.3150328;-3.945696;0;0;0;0;0;0;0;0;-0.3109606;-3.516337;0;Jump
-0.3018225;-3.95428;0;0;1;0;0;0;0;0;-0.3047188;-3.505911;0;Jump
-0.2801675;-3.955984;0;0;1;0;0;0;0;0;-0.2962198;-3.498817;0;Jump
-0.2553961;-3.955985;0;0;1;0;0;0;0;0;-0.2867512;-3.493494;0;Jump
-0.2294909;-3.955249;0;0;1;0;0;0;0;0;-0.2765121;-3.489768;0;Jump
-0.2032339;-3.954198;0;0;1;0;0;0;0;0;-0.2653937;-3.488924;0;Jump
-0.1770862;-3.953844;0;0;1;0;0;0;0;0;-0.2424791;-3.486856;0;Jump
-0.1508985;-3.953378;0;0;1;0;0;0;0;0;-0.2188155;-3.484908;0;Jump
-0.1246876;-3.952851;0;0;1;0;0;0;0;0;-0.1944692;-3.483036;0;Jump
-0.0982331;-3.952293;0;0;1;0;0;0;0;0;-0.1696862;-3.481305;0;Jump
-0.04649045;-3.951472;0;0;1;0;0;0;0;0;-0.1200101;-3.473515;0;Jump
0.008800725;-3.950947;0;0;1;0;0;0;0;0;-0.07063884;-3.473141;0;Jump
0.0640919;-3.950611;0;0;1;0;0;0;0;0;-0.02126761;-3.488463;0;Jump
0.1289369;-3.951917;0;0;1;0;0;0;0;0;0.0379171;-3.495538;0;Jump
0.1848235;-3.952521;0;0;0;0;0;0;0;0;0.07284657;-3.507648;0;Jump
0.213047;-3.952469;0;0;0;0;0;0;0;0;0.09740137;-3.50796;0;Jump
0.2411742;-3.95231;0;0;0;0;0;0;0;0;0.1214184;-3.509195;0;Jump
0.2693739;-3.952095;0;0;0;0;0;0;0;0;0.1448274;-3.511554;0;Jump
0.297699;-3.951859;0;0;0;0;0;0;0;0;0.1675728;-3.515345;0;Jump
0.3261738;-3.951627;0;0;0;0;0;0;0;0;0.1896269;-3.520965;0;Jump
